CentroCosto,ImagenURL,NombreArchivo
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0009.jpg,IMG-20250311-WA0009.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0024.jpg,IMG-20250311-WA0024.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0025.jpg,IMG-20250311-WA0025.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0026.jpg,IMG-20250311-WA0026.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0053.jpg,IMG-20250311-WA0053.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0054.jpg,IMG-20250311-WA0054.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0055.jpg,IMG-20250311-WA0055.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0056.jpg,IMG-20250311-WA0056.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0057.jpg,IMG-20250311-WA0057.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0058.jpg,IMG-20250311-WA0058.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0061.jpg,IMG-20250311-WA0061.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0062.jpg,IMG-20250311-WA0062.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0063.jpg,IMG-20250311-WA0063.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0064.jpg,IMG-20250311-WA0064.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0065.jpg,IMG-20250311-WA0065.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0066.jpg,IMG-20250311-WA0066.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0067.jpg,IMG-20250311-WA0067.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0068.jpg,IMG-20250311-WA0068.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0069.jpg,IMG-20250311-WA0069.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0070.jpg,IMG-20250311-WA0070.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0071.jpg,IMG-20250311-WA0071.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0072.jpg,IMG-20250311-WA0072.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0073.jpg,IMG-20250311-WA0073.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250311-WA0074.jpg,IMG-20250311-WA0074.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250321-WA0011.jpg,IMG-20250321-WA0011.jpg
248,https://raw.githubusercontent.com/guadalupesalguero/imagenes-powerbi/refs/heads/main/2_Video%20Obras/248/IMG-20250321-WA0012.jpg,IMG-20250321-WA0012.jpg
